lamb_air,flux
8471.072311461892,1.000243
8471.172284428587,0.9985532
8471.272257395272,0.99778336
8471.372230361956,0.9973484
8471.472203328633,0.99464
8471.572176295304,0.9911136
8471.672149261969,0.9900836
8471.772122228629,0.99115837
8471.872095195286,0.9936384
8471.972068161935,0.9965237
8472.072041128578,0.9977593
8472.172014095217,0.998539
8472.27198706185,0.99985
8472.371960028478,1.0017583
8472.471932995102,1.0012956
8472.571905961719,0.9999249
8472.67187892833,0.99945956
8472.771851894937,1.000338
8472.871824861537,1.0018685
8472.971797828131,1.0020332
8473.07177079472,1.0016562
8473.171743761306,1.0005116
8473.271716727886,0.998653
8473.371689694459,0.9972938
8473.471662661028,0.99744594
8473.57163562759,0.99789274
8473.671608594148,0.9995655
8473.7715815607,1.0008799
8473.871554527248,1.0024402
8473.97152749379,1.0025841
8474.071500460324,1.0011823
8474.171473426855,0.9987455
8474.27144639338,0.99852693
8474.371419359899,0.99986744
8474.471392326413,1.000394
8474.571365292923,0.99939054
8474.671338259426,0.9998854
8474.771311225924,1.0014784
8474.871284192417,1.002299
8474.971257158903,1.0013157
8475.071230125386,0.99907416
8475.171203091862,0.99753296
8475.271176058333,0.99659604
8475.371149024799,0.99714434
8475.47112199126,0.99792147
8475.571094957713,0.9985337
8475.671067924164,0.9992969
8475.771040890608,0.9997091
8475.871013857046,0.9991223
8475.970986823479,0.9981819
8476.070959789908,0.99909365
8476.17093275633,1.0001271
8476.270905722746,1.0005227
8476.370878689157,0.99849385
8476.470851655564,0.99693716
8476.570824621966,0.9966521
8476.67079758836,0.99813485
8476.77077055475,0.99926704
8476.870743521135,0.9984103
8476.970716487514,0.9974477
8477.070689453887,0.9983991
8477.170662420256,0.9995909
8477.270635386618,0.99988335
8477.370608352976,0.9983578
8477.470581319329,0.996773
8477.570554285676,0.9960799
8477.670527252016,0.996851
8477.770500218352,0.99872285
8477.870473184683,1.0003847
8477.970446151008,1.0002431
8478.070419117328,0.9989841
8478.17039208364,0.99739957
8478.27036504995,0.99687093
8478.370338016253,0.9963082
8478.470310982551,0.99660486
8478.570283948844,0.9965863
8478.670256915131,0.9967723
8478.770229881415,0.9980788
8478.870202847691,1.0001185
8478.97017581396,1.0020066
8479.070148780227,1.0006526
8479.170121746487,0.997662
8479.270094712741,0.99479854
8479.370067678992,0.99487245
8479.470040645236,0.9950777
8479.570013611476,0.99523836
8479.669986577708,0.9953521
8479.769959543935,0.9965115
8479.869932510159,0.996251
8479.969905476375,0.99460506
8480.069878442588,0.99433535
8480.169851408795,0.9938897
8480.269824374995,0.9941318
8480.369797341189,0.99461746
8480.46977030738,0.9940034
8480.569743273565,0.99104327
8480.669716239743,0.9887265
8480.769689205918,0.98841316
8480.869662172086,0.9889983
8480.969635138248,0.990972
8481.069608104406,0.99349105
8481.16958107056,0.99592245
8481.269554036708,0.9958796
8481.369527002847,0.99513793
8481.469499968985,0.9947544
8481.569472935114,0.9946046
8481.669445901241,0.9936324
8481.76941886736,0.99201196
8481.869391833474,0.99145204
8481.969364799585,0.99086386
8482.069337765686,0.9902336
8482.169310731788,0.9905423
8482.269283697879,0.99260145
8482.369256663967,0.9939264
8482.469229630049,0.9933373
8482.569202596125,0.9918972
8482.669175562198,0.99222255
