lamb_air,flux
8513.660794785406,0.93816656
8513.76076774981,0.9208001
8513.86074071421,0.88730735
8513.960713678603,0.8591112
8514.06068664299,0.84118783
8514.160659607374,0.84734476
8514.260632571752,0.86068666
8514.360605536122,0.88085234
8514.46057850049,0.9008068
8514.560551464852,0.9154592
8514.660524429208,0.918047
8514.76049739356,0.9102412
8514.860470357902,0.898881
8514.960443322245,0.88209766
8515.060416286578,0.878602
8515.160389250908,0.8880923
8515.260362215233,0.90211177
8515.360335179552,0.91543
8515.460308143865,0.92829317
8515.560281108172,0.9417323
8515.660254072474,0.9497026
8515.760227036773,0.9601962
8515.860200001065,0.97443
8515.960172965351,0.9733206
8516.060145929634,0.969062
8516.160118893911,0.9749575
8516.260091858181,0.98247415
8516.360064822446,0.98927593
8516.460037786706,0.99446887
8516.560010750962,0.99876493
8516.659983715212,0.99662584
8516.759956679456,0.99208707
8516.859929643693,0.982238
8516.959902607929,0.9790404
8517.059875572155,0.9792075
8517.15984853638,0.9884552
8517.259821500598,1.0006016
8517.35979446481,0.99819
8517.459767429016,0.98079836
8517.559740393219,0.9669351
8517.659713357414,0.9708833
8517.759686321604,0.9857715
8517.85965928579,0.9959982
8517.959632249971,0.9879879
8518.059605214146,0.9819516
8518.159578178316,0.9783913
8518.25955114248,0.98254305
8518.35952410664,0.98251265
8518.459497070793,0.97749513
8518.559470034941,0.9727411
8518.659442999084,0.9811714
8518.759415963223,0.9936522
8518.859388927356,0.9792623
8518.959361891482,0.9638805
8519.059334855605,0.9682655
8519.15930781972,0.9853954
8519.259280783832,0.9908204
8519.359253747938,0.98857796
8519.459226712039,0.98338413
8519.559199676134,0.98334026
8519.659172640224,0.9843945
8519.759145604308,0.98325384
8519.859118568387,0.988067
8519.95909153246,1.0016172
8520.05906449653,1.0054744
8520.159037460593,0.98606724
8520.259010424652,0.973282
8520.358983388704,0.97242415
8520.458956352752,0.98154217
8520.558929316794,0.98623455
8520.658902280831,0.9971732
8520.758875244863,1.0020026
8520.858848208887,0.9965884
8520.95882117291,0.98979545
8521.058794136923,0.9854908
8521.158767100935,0.98000854
8521.258740064939,0.9808968
8521.358713028938,0.9841883
8521.458685992933,0.98723537
8521.558658956921,0.9938396
8521.658631920905,0.99950343
8521.758604884884,1.0071203
8521.858577848858,1.0179718
8521.958550812826,1.0271463
8522.058523776786,1.0277979
8522.158496740743,1.0143396
8522.258469704695,1.0023601
8522.358442668641,0.99926436
8522.458415632582,0.9914232
8522.558388596519,0.98367846
8522.65836156045,0.981609
8522.758334524373,0.9880337
8522.858307488295,0.98830754
8522.958280452209,0.9801935
8523.058253416119,0.97993565
8523.158226380023,0.9892525
8523.25819934392,0.9965667
8523.358172307813,0.99888116
8523.458145271701,1.0008545
8523.558118235585,1.0021857
8523.658091199462,0.9907297
8523.758064163334,0.97324556
8523.8580371272,0.9620588
8523.958010091063,0.96625894
8524.057983054918,0.9829763
8524.15795601877,0.9994231
8524.257928982615,1.003627
8524.357901946454,1.0031395
8524.457874910288,0.99377954
8524.557847874119,0.97900516
8524.657820837943,0.96356285
8524.757793801762,0.9623794
8524.857766765575,0.9561208
8524.957739729383,0.9478036
8525.057712693188,0.9487671
8525.157685656985,0.96091175
8525.257658620776,0.9743201
8525.357631584564,0.9771663
8525.457604548346,0.96998435
8525.557577512121,0.9616635
8525.657550475893,0.96243626
8525.757523439659,0.9674936
8525.85749640342,0.96454436
8525.957469367175,0.959845
8526.057442330924,0.96020275
8526.157415294669,0.95668644
8526.257388258407,0.9459192
8526.357361222143,0.9336121
8526.45733418587,0.9359574
8526.557307149595,0.9315921
8526.657280113313,0.9219538
8526.757253077025,0.9186281
8526.857226040735,0.92641
8526.957199004437,0.94837606
8527.057171968132,0.96582496
8527.157144931823,0.97125524
8527.257117895511,0.9714784
8527.35709085919,0.9727357
8527.457063822865,0.9867939
8527.557036786538,1.0012568
8527.657009750203,0.99965656
8527.756982713861,0.98512554
8527.856955677516,0.9718722
8527.956928641166,0.9719422
8528.056901604808,0.9849728
8528.156874568447,0.9840535
8528.256847532082,0.9708569
8528.35682049571,0.961233
8528.45679345933,0.9638025
8528.55676642295,0.9773452
8528.65673938656,0.9837693
8528.756712350167,0.98007965
8528.856685313767,0.971094
8528.956658277366,0.9662168
8529.056631240957,0.96828145
8529.156604204542,0.9745064
8529.256577168122,0.97001225
8529.356550131697,0.96690995
8529.456523095265,0.9758583
8529.55649605883,0.98310834
8529.65646902239,0.9878706
8529.756441985943,0.98787934
